Mohanpur,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Mundala,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Panchagaon,Sundarpada B.O,751002,Lingaraj,KHORDA,ODISHA
Sankha nagar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Shreeguru nagar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Uttara chack,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
balaram vihar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Behera sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Bhubaneswar,Sundarpada B.O,751002,Khordha,KHORDA,ODISHA
BRM college,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Khandayat sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Lingaraj,Old Town S.O (Khorda),751002,Lingaraj,KHORDA,ODISHA
Nistarinipur,Itipur B.O,751002,Lingaraj,KHORDA,ODISHA
padma nagar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Paikaray Bhoi Sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Paikaray sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Palaspursasan,Itipur B.O,751002,Lingaraj,KHORDA,ODISHA
Saradeipur,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
shakti nagar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Tulasi vihar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Badajena sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Balisahi,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
CIFA,Kausalyaganga B.O,751002,Lingaraj,KHORDA,ODISHA
Durgapurpatana,Bankual B.O,751002,Lingaraj,KHORDA,ODISHA
Hudasahi,Kalyanpur Sasan B.O,751002,Lingaraj,KHORDA,ODISHA
indira gandhi c h colony,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
jaganath colony,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Jagannathpurpatna,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
Kantilo,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Kesora,Bankual B.O,751002,Saheednagar,KHORDA,ODISHA
Kshetrapal,Kuha B.O,751002,Lingaraj,KHORDA,ODISHA
Nakhaurpatna,Gopinathpur B.O,751002,Lingaraj,KHORDA,ODISHA
Radhakanta nagar,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Sundaray sahi,Sisupalgarh B.O,751002,Lingaraj,KHORDA,ODISHA
Tikarpada,Kalyanpur Sasan B.O,751002,Lingaraj,KHORDA,ODISHA
Uttarasasan,Kausalyaganga B.O,751002,Pipili,PURI,ODISHA
Bhubaneswar,Baramunda Colony S.O,751003,Khordha,KHORDA,ODISHA
Utkal university campus,Utkal University S.O,751004,Khordha,KHORDA,ODISHA
Bhubaneswar,Utkal University S.O,751004,Khordha,KHORDA,ODISHA
Bhubaneswar,Sainik School S.O (Khorda),751005,Khordha,KHORDA,ODISHA
Koradakanta,Jharapada B.O,751006,Saheednagar,KHORDA,ODISHA
Bhubaneswar,Budheswari Colony S.O,751006,Khordha,KHORDA,ODISHA
Saheednagar,Saheed Nagar S.O,751007,Saheednagar,KHORDA,ODISHA
RAJBHAWAN,Rajbhawan S.O (Khorda),751008,Khordha,KHORDA,ODISHA
Bhubaneswar,Ashok Nagar S.O (Khorda),751009,Khordha,KHORDA,ODISHA
rasulgarh,Rasulgarh S.O,751010,Khordha,KHORDA,ODISHA
CRP Outpost,C R P Lines S.O,751011,Khordha,KHORDA,ODISHA
Bhubaneswar,Nayapalli S.O,751012,Khordha,KHORDA,ODISHA
RRL,Regional Research Laboratory S.O,751013,Khordha,KHORDA,ODISHA
Bhubaneswar,B J B Nagar S.O,751014,Khordha,KHORDA,ODISHA
IRC VILLAGE,I R C Village S.O,751015,Khandagiri,KHORDA,ODISHA
chandrasekharpur,Chandra Sekhar Pur S.O,751016,Chandaka,KHORDA,ODISHA
Mancheswar Railway Colony,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
MANCHESWAR RS BO - 751017,Mancheswar R S B.O,751017,Khordha,KHORDA,ODISHA
SBI,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
work shop Eco rly,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Type III Qr,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Bhubaneswar,Mancheswar B.O,751017,Khordha,KHORDA,ODISHA
Section Engg,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Type I Qr,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Rly ME school,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Type II Qr,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Rly High school,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Type IV Qr,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
GBD ECo Rly,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
health unit,Mancheswar Railway Colony S.O,751017,Khordha,KHORDA,ODISHA
Badagada,Badagarh Brit Colony S.O,751018,Khordha,KHORDA,ODISHA
DUMUDUMA HOUSING BOARD COLONY,Kalinga Vihar B.O,751019,Khandagiri,KHORDA,ODISHA
Paradeep Colony,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
Alarpur,Aiginia B.O,751019,Balianta,KHORDA,ODISHA
HIG-K6-3000,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
Sarakantara,Dumduma Housing Board Colony S.O,751019,Khandagiri,KHORDA,ODISHA
Sarakantara,Sarakantara B.O,751019,Khandagiri,KHORDA,ODISHA
Bahadalpur,Sarakantara B.O,751019,Khandagiri,KHORDA,ODISHA
LIG-K6-300,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
MIG-K6,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
Patrapada,Dumduma Housing Board Colony S.O,751019,Khandagiri,KHORDA,ODISHA
Ranasinghpur,Sarakantara B.O,751019,Khandagiri,KHORDA,ODISHA
Suanga,Sarakantara B.O,751019,Khandagiri,KHORDA,ODISHA
Kalinga Vihar BO-751019,Dumduma Housing Board Colony S.O,751019,Khandagiri,KHORDA,ODISHA
