Pondicherry University,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Vilvanatham,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Ellaitharasu,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kalapet,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kanagachettikulam,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Gangai nagar,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kilputhupet,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nesal,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Anichankuppam,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nambikkai nallur,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Monniyampet,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kuthiraiponnimedu,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Mathur,Pondicherry University S.O,605014,Ariankuppam Commune Panchayat,PONDICHERRY,PONDICHERRY
Thiruvandarkoil,Thiruvandarkoil B.O,605102,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Arugur,Ariyur B.O,605102,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Ramanathapuram,Pillur B.O,605103,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Madukkarai,Maducore B.O,605105,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Karaiyambuthur,Karayamputhur B.O,605106,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Sankaranpettai,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kalmandapam,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
NADUNAYAGAPURAM,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Nettapakkam Commune Panchayat,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Panayadikuppam,Viranam B.O,605106,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Embalam,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kariamanickam,Kariyamanikam B.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Manakuppam,Nallathur B.O,605106,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Pandasozhanur,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
THATTANKULAM,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Embalam,Embalam B.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
SEMBEDAPETTAI,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Sivaranthagam,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Karayamputhur,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Kizhur,Kijour B.O,605106,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Nettapakkam Commune Panchayat,Mandagapet B.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
Eripakkam,Kariyamanikam B.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
M.Kuchippalayam,Nettapakkam S.O,605106,Nettapakkam Commune Panchayat,PONDICHERRY,PONDICHERRY
