Paschim Barisha,Paschim Barisha S.O,700063,Thakurpukur Mahestola,SOUTH 24 PARGANAS,WEST BENGAL
Salt Lake,Bidhannagr CC Block S.O,700064,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Kolkata,Rabindra Nagar S.O,700065,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Bidhangarh S.O,700066,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Ultadanga Main Road S.O,700067,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Jodhpur Park S.O,700068,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Esplanade S.O,700069,Kolkata,KOLKATA,WEST BENGAL
Postal Park,Bansdroni S.O,700070,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Middleton Row S.O,700071,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Princep Street S.O,700072,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Chittaranjan Avenue S.O (Kolkata),700073,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Motijheel S.O,700074,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Santoshpur S.O,700075,Kolkata,KOLKATA,WEST BENGAL
Barrackpur - II,Dakshineswar S.O,700076,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Kolkata,Bediapara S.O,700077,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Haltu S.O,700078,Kolkata,KOLKATA,WEST BENGAL
Barrackpur - II,Italghacha S.O,700079,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Kolkata,Mall Road S.O,700080,Kolkata,KOLKATA,WEST BENGAL
Barrackpur - II,Rajbari Colony S.O,700081,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Kolkata,Haridevpur S.O,700082,Kolkata,KOLKATA,WEST BENGAL
Barrackpur - II,Nandan Nagar S.O,700083,Barrackpur - II,NORTH 24 PARGANAS,WEST BENGAL
Kamdahari,Garia S.O (South 24 Parganas),700084,Kolkata,KOLKATA,WEST BENGAL
Srirampur,Garia S.O (South 24 Parganas),700084,Sonarpur,SOUTH 24 PARGANAS,WEST BENGAL
Kolkata,K.G Bose Sarani S.O,700085,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Baghajatin S.O,700086,Kolkata,KOLKATA,WEST BENGAL
Kolkata,New Market S.O,700087,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Brace Bridge S.O,700088,Kolkata,KOLKATA,WEST BENGAL
Lake Town,Lake Town S.O (North 24 Parganas),700089,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Kolkata,Noapara S.O,700090,Kolkata,KOLKATA,WEST BENGAL
Salt Lake,Sech Bhawan S.O,700091,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Kolkata,Regent Estate S.O,700092,Kolkata,KOLKATA,WEST BENGAL
Gangapuri,Purba Putiary S.O,700093,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Panchasayar S.O,700094,Kolkata,KOLKATA,WEST BENGAL
Kolkata,Golf Green S.O,700095,Kolkata,KOLKATA,WEST BENGAL
Brahmapur Rabindrapally,Brahmapur S.O,700096,Sonarpur,SOUTH 24 PARGANAS,WEST BENGAL
Salt Lake,Purbachal S.O,700097,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Salt Lake,Bidhan Nagar Sai Complex S.O,700098,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Kalikapur,Kalikapur S.O,700099,Sonarpur,SOUTH 24 PARGANAS,WEST BENGAL
Kolkata,Mukundapur S.O,700099,Kolkata,KOLKATA,WEST BENGAL
Kasba-Tiljala,Vip Nagar S.O,700100,Alipore Sadar,SOUTH 24 PARGANAS,WEST BENGAL
Baguihati,Prafulla Kanan S.O,700101,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Thakdari,Krishnapur S.O (North 24 Parganas),700102,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Mahishgot,Krishnapur S.O (North 24 Parganas),700102,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Baguihati,Krishnapur S.O (North 24 Parganas),700102,Rajarhat,NORTH 24 PARGANAS,WEST BENGAL
Jaynagar,Nepalganj B.O,700103,Sonarpur,SOUTH 24 PARGANAS,WEST BENGAL
Raghabpur,Nepalganj B.O,700103,Bishnupur - I,SOUTH 24 PARGANAS,WEST BENGAL
Amgachhi,Nepalganj B.O,700103,Bishnupur - I,SOUTH 24 PARGANAS,WEST BENGAL
Chak Nursikdar,Nepalganj B.O,700103,Bishnupur - I,SOUTH 24 PARGANAS,WEST BENGAL
Kulerdari,Nepalganj B.O,700103,Bishnupur - I,SOUTH 24 PARGANAS,WEST BENGAL
Panakua,Nepalganj B.O,700103,Bishnupur - I,SOUTH 24 PARGANAS,WEST BENGAL
