Deosara,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Dongariya,Kodia B.O,490036,Dhamdha,DURG,CHATTISGARH
Dumar,Gondi B.O,490036,Dhamdha,DURG,CHATTISGARH
Gabda,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Kodia,Kodia B.O,490036,Dhamdha,DURG,CHATTISGARH
Kohadiya,Gudheli B.O,490036,Berla,DURG,CHATTISGARH
Kumhi,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Nandani,Nandini S.O,490036,Dhamdha,DURG,CHATTISGARH
Neonara,Hasda B.O,490036,Berla,DURG,CHATTISGARH
Pituaura,Nandini Khundini B.O,490036,Dhamdha,DURG,CHATTISGARH
A.C.C. Pathriya,Medesara B.O,490036,Dhamdha,DURG,CHATTISGARH
Dhaur,Gondi B.O,490036,Dhamdha,DURG,CHATTISGARH
Gondi,Gondi B.O,490036,Dhamdha,DURG,CHATTISGARH
Higanadih,Ahiwara B.O,490036,Dhamdha,DURG,CHATTISGARH
Higna,Murmunda B.O,490036,Dhamdha,DURG,CHATTISGARH
Kodiya,Kodia B.O,490036,Dhamdha,DURG,CHATTISGARH
Malpuri Khurd,Ahiwara B.O,490036,Dhamdha,DURG,CHATTISGARH
Basghat,Medesara B.O,490036,Dhamdha,DURG,CHATTISGARH
Chandi,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Dewada,Hasda B.O,490036,Berla,DURG,CHATTISGARH
Ghathia Khurd,Gondgiri B.O,490036,Dhamdha,DURG,CHATTISGARH
Gondgiri,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Gudheli,Gudheli B.O,490036,Berla,DURG,CHATTISGARH
Hardi,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Pirda,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Sagni,Kodia B.O,490036,Dhamdha,DURG,CHATTISGARH
Bhimbhori,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Borsi,Gudheli B.O,490036,Berla,DURG,CHATTISGARH
Dhaur,Murmunda B.O,490036,Dhamdha,DURG,CHATTISGARH
Girhola,Girhola B.O,490036,Dhamdha,DURG,CHATTISGARH
Godhi,Gondi B.O,490036,Dhamdha,DURG,CHATTISGARH
Khargarpat,Gudheli B.O,490036,Berla,DURG,CHATTISGARH
Pawar Gread,Medesara B.O,490036,Dhamdha,DURG,CHATTISGARH
Sankara,Hasda B.O,490036,Berla,DURG,CHATTISGARH
Singardih,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Uphara,Gudheli B.O,490036,Berla,DURG,CHATTISGARH
Ahiwara,Ahiwara B.O,490036,Durg,DURG,CHATTISGARH
Hasda,Hasda B.O,490036,Berla,DURG,CHATTISGARH
Khapri (Jatadarra),Girhola B.O,490036,Dhamdha,DURG,CHATTISGARH
Khemtari,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Kota,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Lata,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Mudhapar,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Parsda,Kodia B.O,490036,Dhamdha,DURG,CHATTISGARH
Pathriya,Medesara B.O,490036,Dhamdha,DURG,CHATTISGARH
Sahgaon,Nandini Khundini B.O,490036,Dhamdha,DURG,CHATTISGARH
Silghat,Bhimbhori B.O,490036,Berla,DURG,CHATTISGARH
Kareli,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Lahanga,Gondi B.O,490036,Dhamdha,DURG,CHATTISGARH
Mauali Bhathe,Gondgiri B.O,490036,Berla,DURG,CHATTISGARH
Murmunda,Murmunda B.O,490036,Dhamdha,DURG,CHATTISGARH
Sandi,Ahiwara B.O,490036,Dhamdha,DURG,CHATTISGARH
Daba,Limtara B.O,490042,Dhamdha,DURG,CHATTISGARH
Limtara,Limtara B.O,490042,Dhamdha,DURG,CHATTISGARH
Murra,Kumhari S.O,490042,Dhamdha,DURG,CHATTISGARH
Pahnda,Pahanda B.O,490042,Durg,DURG,CHATTISGARH
Limtara,Limtara B.O,490042,Durg,DURG,CHATTISGARH
Surjidih,Limtara B.O,490042,Dhamdha,DURG,CHATTISGARH
Dhaba,Kumhari S.O,490042,Dhamdha,DURG,CHATTISGARH
Kumhari,Kumhari S.O,490042,Durg,DURG,CHATTISGARH
Bhothali,Pahanda B.O,490042,Patan,DURG,CHATTISGARH
Borsi,Kapasda B.O,490042,Dhamdha,DURG,CHATTISGARH
Kapasda,Kapasda B.O,490042,Dhamdha,DURG,CHATTISGARH
Akola-Old,Oteband B.O,490042,Dhamdha,DURG,CHATTISGARH
Kandarka,Limtara B.O,490042,Dhamdha,DURG,CHATTISGARH
Pahanda,Pahanda B.O,490042,Patan,DURG,CHATTISGARH
Panchdeori,Kumhari S.O,490042,Dhamdha,DURG,CHATTISGARH
Pand Deori,Kapasda B.O,490042,Dhamdha,DURG,CHATTISGARH
Parsada,Pahanda B.O,490042,Patan,DURG,CHATTISGARH
Sakara,Kapasda B.O,490042,Dhamdha,DURG,CHATTISGARH
Malpuri (Kala),Oteband B.O,490042,Dhamdha,DURG,CHATTISGARH
Sankra,Kumhari S.O,490042,Dhamdha,DURG,CHATTISGARH
Akola - New,Oteband B.O,490042,Dhamdha,DURG,CHATTISGARH
Magarghata,Pahanda B.O,490042,Patan,DURG,CHATTISGARH
Oteband,Oteband B.O,490042,Dhamdha,DURG,CHATTISGARH
Bhendsar,Bhendsar B.O,491001,Durg,DURG,CHATTISGARH
Dodki,Chicha B.O,491001,Dhamdha,DURG,CHATTISGARH
Ganayri,Rasmara B.O,491001,Durg,DURG,CHATTISGARH
Hasda,Hirri B.O,491001,Dhamdha,DURG,CHATTISGARH
Khurshul,Borai B.O,491001,Durg,DURG,CHATTISGARH
Kotni,Nagpura B.O,491001,Durg,DURG,CHATTISGARH
Litia,Litia Semaria B.O,491001,Dhamdha,DURG,CHATTISGARH
Madiapar,Hirri B.O,491001,Dhamdha,DURG,CHATTISGARH
Maha Mara,Rasmara B.O,491001,Durg,DURG,CHATTISGARH
Mohlai,Durg H.O,491001,Durg,DURG,CHATTISGARH
Nagpura,Nagpura B.O,491001,Durg,DURG,CHATTISGARH
Temri,Temri B.O,491001,Dhamdha,DURG,CHATTISGARH
Arsi,Chicha B.O,491001,Dhamdha,DURG,CHATTISGARH
Chicha,Chicha B.O,491001,Dhamdha,DURG,CHATTISGARH
Chikhli,Jeora Sirsa B.O,491001,Durg,DURG,CHATTISGARH
Damoda,Borai B.O,491001,Durg,DURG,CHATTISGARH
Dania,Bori B.O,491001,Dhamdha,DURG,CHATTISGARH
Doma,Bori B.O,491001,Dhamdha,DURG,CHATTISGARH
Konari,Pisgaon B.O,491001,Durg,DURG,CHATTISGARH
Parsoda Par,Nawagaon Purda B.O,491001,Durg,DURG,CHATTISGARH
