PILI KOTHI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shahal,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),AHQ S.O,171003,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
TARAWADI COLONY,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Bhont,AGPO S.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Dhar,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KUFAR,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kuffar,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Padhog,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Kaithu B.O,171003,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
SURJEET SADAN,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
UPPER BHARARI,Bharari B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Upper Mandau,Bhont B.O,171003,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BANGALI BAGICHA TUTIKANDI,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Ambedkarchowk S.O,171004,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
DABRI LINE PHAGLI,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KAINTH EASTATE PHAGLI,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
LOWER RAMNAGAR,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
LOWER PHAGLI,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
PHAGLI,Nabha Estate B.O,171004,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
LALPANI,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NABHA ESTATE,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
JAMINDAR HOSUE,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
ANAND VATIKA PHAGLI,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
RAMNAGAR,Nabha Estate B.O,171004,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Gadaog (5/78),Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Ropda,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Summer Hill,Summerhill S.O,171005,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Darada,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Darat,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Dhanayal,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Matyan,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Ojad,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shambara,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Chaily,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Chanadi,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Sangti (3/13),Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Anji ki Pati,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Chaili,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Rehati,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shambra,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Anji,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shadog,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Chaili Khurad,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Gadawag,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Girav,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kiar,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kyar,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Nalayal,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Nalyal,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Sangti,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Anji (5/74),Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Neri.,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Chayali Khurd,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kalawar,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kalawat,Summerhill S.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Rehai,Chaili B.O,171005,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Distt. Court Chakkar S.O,171005,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
CHAMYANA,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
DODI,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
FEGTUNALA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
SHEEDA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
TOLAG,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BEOLIDHAR,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
CHABROG,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
CHACHRU,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Chhakrail (352),Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
frood,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
GNOTI SHEEL,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
JHOLLO,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NEW DEWALI COLONY,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
POABO,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
SEWRAGE PLANT,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BHON KA PASS,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
CHHALI,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
DHOBI GHAT,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Ganoti (377),Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Jangal Badfar-II (340),Sanjauli S.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KAMYANA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Kuftu (338),Sanjauli S.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
MALYANA,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NEW BAKHARI,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
OBANA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
PANAYA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BANKANAL,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
CHORY,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
GHUMALI,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KAKAR BAGORA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KAYAL,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
MACARAYANA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
MAYLA,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shanahan (375),Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
SHANAN,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
SHURALA,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
UNDALI,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BAGOLU,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BALIE,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BHRUNTY,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Ganhan,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KHALYOG,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
LOWER MALYANA,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
MARYANA,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Paobo (24),Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
REWADRI,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Shimla Urban(T),Sanjauli S.O,171006,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
TOWNRU,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BEDEWADI,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
FERNEDA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KAMLANAGAR,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KANTYA,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KYARGI,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
MAJALU,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NEW MALYANA,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
TAROT,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Badfar (337),Sanjauli S.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BAGORA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BAKHOLA,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Banreru (335),Sanjauli S.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
DOOMI,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Jangal Badfar-I (336),Sanjauli S.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
NEW BALIE,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
SHAKRALA,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BAKHARI,Malyana B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
CHARI JUPAR,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
CHOLI,Kamlanagar B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
DALA,Poabo B.O,171006,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
